mexc_symbol,base,contractSize,maxLeverage,last,timeframe,rating,tv_source,tv_buy,tv_sell,tv_neutral
BTC_USDC,BTC,0.0001,200,71671.3,1d,,,,,
ETH_USDC,ETH,0.01,200,2275.62,1d,,,,,
SOL_USDC,SOL,0.1,200,87.76,1d,,,,,
XRP_USDC,XRP,1.0,125,1.149,1d,,,,,
HYPE_USDC,HYPE,0.1,125,72.087,1d,,,,,
XAU_USDC,XAU,0.001,100,4490.8,1d,,,,,
SUI_USDC,SUI,1.0,125,0.7237,1d,,,,,
DOGE_USDC,DOGE,10.0,125,0.07682,1d,,,,,
ZEC_USDC,ZEC,0.01,75,560.44,1d,,,,,
FARTCOIN_USDC,FARTCOIN,1.0,125,0.1562,1d,,,,,
LINK_USDC,LINK,0.1,125,10.679,1d,,,,,
ENA_USDC,ENA,10.0,125,0.09657,1d,,,,,
SILVER_USDC,SILVER,0.01,200,66.74,1d,,,,,
SNDKSTOCK_USDC,SNDKSTOCK,0.001,20,1580.61,1d,,,,,
TAO_USDC,TAO,0.01,125,209.3,1d,,,,,
XAUT_USDC,XAUT,0.001,200,4465.7,1d,,,,,
H_USDC,H,10.0,20,0.08038,1d,,,,,
WLD_USDC,WLD,1.0,125,0.3642,1d,,,,,
TIA_USDC,TIA,1.0,125,0.3313,1d,,,,,
ADA_USDC,ADA,1.0,125,0.1893,1d,,,,,
STRK_USDC,STRK,10.0,125,0.0247,1d,,,,,
BNB_USDC,BNB,0.001,125,641.46,1d,,,,,
PEPE_USDC,PEPE,10000000.0,125,3.176e-06,1d,,,,,
ONDO_USDC,ONDO,1.0,125,0.3517,1d,,,,,
XLM_USDC,XLM,10.0,125,0.17527,1d,,,,,
SPCXSTOCK_USDC,SPCXSTOCK,0.01,20,138.34,1d,,,,,
SOXL_USDC,SOXL,0.01,50,121.1,1d,,,,,
ARB_USDC,ARB,1.0,125,0.08981,1d,,,,,
AAVE_USDC,AAVE,0.01,125,98.3,1d,,,,,
PUMPFUN_USDC,PUMPFUN,1000.0,125,0.003266,1d,,,,,
TRUMP_USDC,TRUMP,0.1,125,1.678,1d,,,,,
NEAR_USDC,NEAR,1.0,125,1.755,1d,,,,,
AVAX_USDC,AVAX,0.1,125,6.927,1d,,,,,
HBAR_USDC,HBAR,1.0,125,0.07243,1d,,,,,
SPX500_USDC,SPX500,0.0001,50,7691.5,1d,,,,,
BCH_USDC,BCH,0.01,125,217.41,1d,,,,,
MUSTOCK_USDC,MUSTOCK,0.01,20,942.81,1d,,,,,
LTC_USDC,LTC,0.01,125,47.46,1d,,,,,
BOME_USDC,BOME,1000.0,125,0.0011355,1d,,,,,
DOT_USDC,DOT,1.0,125,0.804,1d,,,,,
INJ_USDC,INJ,0.1,50,4.748,1d,,,,,
SKHYNIXSTOCK_USDC,SKHYNIXSTOCK,0.001,20,1198.29,1d,,,,,
PAXG_USDC,PAXG,0.001,100,4467.33,1d,,,,,
WIF_USDC,WIF,10.0,125,0.1532,1d,,,,,
PENGU_USDC,PENGU,10.0,125,0.006776,1d,,,,,
SPX_USDC,SPX,1.0,125,0.3842,1d,,,,,
WLFI_USDC,WLFI,10.0,125,0.05903,1d,,,,,
PENDLE_USDC,PENDLE,1.0,125,1.4847,1d,,,,,
ICP_USDC,ICP,1.0,50,2.34,1d,,,,,
SHIB_USDC,SHIB,100000.0,125,4.966e-06,1d,,,,,
CRV_USDC,CRV,1.0,125,0.2714,1d,,,,,
SEI_USDC,SEI,10.0,125,0.04236,1d,,,,,
ETHFI_USDC,ETHFI,1.0,50,0.5672,1d,,,,,
FIL_USDC,FIL,1.0,50,0.6843,1d,,,,,
NEO_USDC,NEO,0.1,50,1.84,1d,,,,,
KAITO_USDC,KAITO,1.0,50,0.3466,1d,,,,,
ETC_USDC,ETC,0.1,125,6.732,1d,,,,,
OP_USDC,OP,1.0,125,0.0911,1d,,,,,
UNI_USDC,UNI,0.1,125,3.719,1d,,,,,
VIRTUAL_USDC,VIRTUAL,1.0,125,0.6244,1d,,,,,
BIO_USDC,BIO,10.0,20,0.03224,1d,,,,,
GRAM_USDC,GRAM,1.0,20,1.381,1d,,,,,
PNUT_USDC,PNUT,10.0,125,0.0494,1d,,,,,
ORDI_USDC,ORDI,0.1,125,3.892,1d,,,,,
1000BONK_USDC,1000BONK,100.0,125,0.002563,1d,,,,,
POL_USDC,POL,10.0,125,0.0818,1d,,,,,
APT_USDC,APT,0.1,125,0.5696,1d,,,,,
TRX_USDC,TRX,10.0,125,0.33446,1d,,,,,
MNT_USDC,MNT,1.0,125,0.4883,1d,,,,,
EIGEN_USDC,EIGEN,1.0,125,0.1897,1d,,,,,
NEIROCTO_USDC,NEIROCTO,10000.0,125,7.282e-05,1d,,,,,
SAHARA_USDC,SAHARA,10.0,50,0.00786,1d,,,,,
ICNT_USDC,ICNT,10.0,50,0.1244,1d,,,,,
POPCAT_USDC,POPCAT,10.0,125,0.0449,1d,,,,,
NOT_USDC,NOT,1000.0,125,0.0004068,1d,,,,,
AEVO_USDC,AEVO,10.0,125,0.02225,1d,,,,,
MOODENG_USDC,MOODENG,10.0,50,0.04043,1d,,,,,
RESOLV_USDC,RESOLV,10.0,50,0.0181,1d,,,,,
