Symbol,Name,Last,Change,%Change,Open,High,Low,Volume,Time
NVDA,"Nvidia Corp",180.03,-8.29,-4.40%,184.77,184.8,179.7,205641297,2025-10-14
PLUG,"Plug Power Inc",4.05,0.15,+3.85%,3.71,4.18,3.58,198218203,2025-10-14
BBAI,"Bigbear.Ai Holdings Inc",8.91,0.1,+1.14%,8.87,9.39,8.41,176513500,2025-10-14
NVTS,"Navitas Semiconductor Corp",12.57,2.6,+26.08%,12.45,13.33,10.92,157929906,2025-10-14
RGTI,"Rigetti Computing Inc",56.12,1.21,+2.20%,54.85,58.15,50,148012797,2025-10-14
INTC,"Intel Corp",35.63,-1.59,-4.27%,36,36.54,34.69,117908305,2025-10-14
BYND,"Beyond Meat Inc",0.7808,-0.2542,-24.56%,0.9188,0.9256,0.77,113067203,2025-10-14
JOBY,"Joby Aviation Inc",18.11,1.34,+7.99%,16.27,18.44,15.79,107572400,2025-10-14
RXRX,"Recursion Pharmaceuticals Inc Cl A",5.89,0.36,+6.51%,5.32,6,5.07,104026797,2025-10-14
F,"Ford Motor Company",11.65,0.11,+0.95%,11.38,11.76,11.34,89117900,2025-10-14
SOUN,"Soundhound AI Inc Cl A",20.86,1.72,+8.99%,18.57,21.53,18.52,77114195,2025-10-14
ACHR,"Archer Aviation Inc",13.02,0.25,+1.96%,12.25,13.5,11.47,77028900,2025-10-14
WULF,"Terawulf Inc",15.46,1.46,+10.43%,13.85,16.19,13.31,77015195,2025-10-14
SOFI,"Sofi Technologies Inc",27.87,0.73,+2.69%,26.51,28.35,25.75,75502492,2025-10-14
BTBT,"Bit Digital Inc",4.13,0.13,+3.25%,3.83,4.39,3.72,73414500,2025-10-14
QBTS,"D-Wave Quantum Inc",43.06,2.44,+6.01%,40.52,45.3,38.1,73334900,2025-10-14
TSLA,"Tesla Inc",429.24,-6.66,-1.53%,426.79,434.2,417.86,72669398,2025-10-14
MARA,"Mara Holdings Inc",22.24,2,+9.88%,19.37,22.98,19,72225805,2025-10-14
AMD,"Adv Micro Devices",218.09,1.67,+0.77%,219.2,224.98,215.9,71216203,2025-10-14
CLF,"Cleveland-Cliffs Inc",13.96,0.13,+0.94%,13.39,14.215,13.13,64474100,2025-10-14
AAL,"American Airlines Gp",12.19,0.45,+3.83%,11.59,12.28,11.52,64417199,2025-10-14
RIG,"Transocean Inc",3.12,-0.08,-2.50%,3.15,3.19,3.1,62533900,2025-10-14
UUUU,"Energy Fuels Inc",26.23,2.46,+10.35%,26.08,26.88,21.9,60650500,2025-10-14
CIFR,"Cipher Mining Inc",20.89,0.55,+2.70%,19.89,21.48,18.88,60582297,2025-10-14
QUBT,"Quantum Computing Inc",21.78,0.32,+1.49%,21.21,23.34,20.13,54128301,2025-10-14
CLSK,"Cleanspark Inc",21.98,1.94,+9.68%,19.16,22.68,18.82,50946500,2025-10-14
PLTR,"Palantir Technologies Inc Cl A",179.74,2.53,+1.43%,176,182.34,170.82,49261398,2025-10-14
APLD,"Applied Digital Corp",35.04,0.8,+2.34%,34.07,38.1,32.8,48889297,2025-10-14
AMZN,"Amazon.com Inc",216.39,-3.68,-1.67%,215.55,219.32,212.6,45665500,2025-10-14
RF,"Regions Financial Corp",25.16,0.6,+2.44%,24.32,25.3,24.27,45545200,2025-10-14
T,"AT&T Inc",26.13,0.54,+2.11%,25.58,26.15,25.575,43644800,2025-10-14
BAC,"Bank of America Corp",50.09,1.23,+2.52%,48.85,50.495,48.525,42462500,2025-10-14
