ticker,tv_exchange,tv_symbol,rating,timeframe
A,NYSE,A,BUY,1W
AAPL,NASDAQ,AAPL,BUY,1W
ABBV,NYSE,ABBV,BUY,1W
ABT,NYSE,ABT,BUY,1W
ACGL,NASDAQ,ACGL,BUY,1W
ADM,NYSE,ADM,BUY,1W
ADSK,NASDAQ,ADSK,BUY,1W
AEE,NYSE,AEE,BUY,1W
AES,NYSE,AES,BUY,1W
AFL,NYSE,AFL,BUY,1W
AIG,NYSE,AIG,BUY,1W
AIZ,NYSE,AIZ,BUY,1W
ALB,NYSE,ALB,BUY,1W
ALL,NYSE,ALL,BUY,1W
AMAT,NASDAQ,AMAT,BUY,1W
AMGN,NASDAQ,AMGN,BUY,1W
ANET,NYSE,ANET,BUY,1W
APA,NASDAQ,APA,BUY,1W
APH,NYSE,APH,BUY,1W
APP,NASDAQ,APP,BUY,1W
APTV,NYSE,APTV,BUY,1W
AWK,NYSE,AWK,BUY,1W
AZO,NYSE,AZO,BUY,1W
BA,NYSE,BA,BUY,1W
BAC,NYSE,BAC,BUY,1W
BIIB,NASDAQ,BIIB,BUY,1W
BK,NYSE,BK,BUY,1W
BKR,NASDAQ,BKR,BUY,1W
BRK-B,NYSE,BRK.B,BUY,1W
BX,NYSE,BX,BUY,1W
CAH,NYSE,CAH,BUY,1W
CB,NYSE,CB,BUY,1W
CBRE,NYSE,CBRE,BUY,1W
CCL,NYSE,CCL,BUY,1W
CHRW,NASDAQ,CHRW,BUY,1W
CINF,NASDAQ,CINF,BUY,1W
CMI,NYSE,CMI,BUY,1W
CNP,NYSE,CNP,BUY,1W
COF,NYSE,COF,BUY,1W
COIN,NASDAQ,COIN,BUY,1W
CRL,NYSE,CRL,BUY,1W
CSCO,NASDAQ,CSCO,BUY,1W
CVS,NYSE,CVS,BUY,1W
D,NYSE,D,BUY,1W
DASH,NASDAQ,DASH,BUY,1W
DAY,NYSE,DAY,BUY,1W
DELL,NYSE,DELL,BUY,1W
DHI,NYSE,DHI,BUY,1W
DHR,NYSE,DHR,BUY,1W
DLR,NYSE,DLR,BUY,1W
DTE,NYSE,DTE,BUY,1W
EA,NASDAQ,EA,BUY,1W
EBAY,NASDAQ,EBAY,BUY,1W
ECL,NYSE,ECL,BUY,1W
ED,NYSE,ED,BUY,1W
EG,NYSE,EG,BUY,1W
EMR,NYSE,EMR,BUY,1W
EQT,NYSE,EQT,BUY,1W
ES,NYSE,ES,BUY,1W
ETR,NYSE,ETR,BUY,1W
EVRG,NASDAQ,EVRG,BUY,1W
EXC,NASDAQ,EXC,BUY,1W
EXR,NYSE,EXR,BUY,1W
FCX,NYSE,FCX,BUY,1W
FITB,NASDAQ,FITB,BUY,1W
FOXA,NASDAQ,FOXA,BUY,1W
FSLR,NASDAQ,FSLR,BUY,1W
GE,NYSE,GE,BUY,1W
GOOGL,NASDAQ,GOOGL,BUY,1W
GPC,NYSE,GPC,BUY,1W
HAS,NASDAQ,HAS,BUY,1W
HIG,NYSE,HIG,BUY,1W
HLT,NYSE,HLT,BUY,1W
HPQ,NYSE,HPQ,BUY,1W
IBKR,NASDAQ,IBKR,BUY,1W
IDXX,NASDAQ,IDXX,BUY,1W
LMT,NYSE,LMT,BUY,1W
LRCX,NASDAQ,LRCX,BUY,1W
MMM,NYSE,MMM,BUY,1W
MO,NYSE,MO,BUY,1W
PODD,NASDAQ,PODD,BUY,1W
SCHW,NYSE,SCHW,BUY,1W
TECH,NASDAQ,TECH,BUY,1W
XOM,NYSE,XOM,BUY,1W
XYZ,NYSE,XYZ,BUY,1W
AEP,NASDAQ,AEP,STRONG_BUY,1W
ALLE,NYSE,ALLE,STRONG_BUY,1W
AMD,NASDAQ,AMD,STRONG_BUY,1W
AME,NYSE,AME,STRONG_BUY,1W
ATO,NYSE,ATO,STRONG_BUY,1W
AVGO,NASDAQ,AVGO,STRONG_BUY,1W
AXP,NYSE,AXP,STRONG_BUY,1W
BLK,NYSE,BLK,STRONG_BUY,1W
C,NYSE,C,STRONG_BUY,1W
CAT,NYSE,CAT,STRONG_BUY,1W
CEG,NASDAQ,CEG,STRONG_BUY,1W
CFG,NYSE,CFG,STRONG_BUY,1W
CMS,NYSE,CMS,STRONG_BUY,1W
COR,NYSE,COR,STRONG_BUY,1W
CRWD,NASDAQ,CRWD,STRONG_BUY,1W
CSX,NASDAQ,CSX,STRONG_BUY,1W
DAL,NYSE,DAL,STRONG_BUY,1W
DD,NYSE,DD,STRONG_BUY,1W
DDOG,NASDAQ,DDOG,STRONG_BUY,1W
EME,NYSE,EME,STRONG_BUY,1W
EXPE,NASDAQ,EXPE,STRONG_BUY,1W
IBM,NYSE,IBM,STRONG_BUY,1W
LNT,NASDAQ,LNT,STRONG_BUY,1W
